"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"ALIUM PARTICIPACOES",18082,"Emp. Adm. Part. - Sem Setor Principal","BKR - LOPES, MACHADO AUDITORES"
"ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.",24058,"Serviços Médicos","BKR - LOPES, MACHADO AUDITORES"
"ALLIED TECNOLOGIA S.A.",25330,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ALLIS S.A.",20850,"Emp. Adm. Part. - Sem Setor Principal","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALLOS S.A.",22357,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ALMEC",302,"Metalurgia e Siderurgia",""
"ALMEIDA JUNIOR SHOPPING CENTERS S.A.",26395,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ALPARGATAS",10456,"Têxtil e Vestuário","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALPART",310,"Emp. Adm. Participações","ETAE AUDITORES INDEPENDENTES"
"BR INSURANCE CORRETORA DE SEGUROS S.A.",22217,"Emp. Adm. Part. - Seguradoras e Corretoras","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",25275,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ALPINA DO BRASIL",329,"Máquinas, Equipamentos, Veículos e Peças","ROBERTO DREYFUSS & CIA SC"
"ALPLAN",337,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"ALTA-TELECOM",17310,"Telecomunicações","BKR - LOPES, MACHADO AUDITORES"
"ALTERE SECURITIZADORA S/A",18066,"Securitização de Recebíveis","ECOVIS WFA AUDITORES INDEPENDENTES S/S"
"ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA",27030,"Farmacêutico e Higiene","KPMG AUDITORES INDEPENDENTES LTDA."
"ALTUS SISTEMA DE AUTOMAÇÃO S.A.",23183,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES INDEPENDENTES LTDA."
"",27430,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ASA ALUMINIO",345,"Emp. Adm. Participações","BKR - LOPES, MACHADO AUDITORES"
"ALUPAR INVESTIMENTO S/A",21490,"Emp. Adm. Part. - Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
