"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"CAMARGO CORREA CIMENTOS SA",25992,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"INTERCOSMETIC HOLDING S/A",22888,"Emp. Adm. Part. - Farmacêutico e Higiene","PARANÁ AUDITORES ASSOCIADOS S/S"
"INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL",23086,"Emp. Adm. Part. - Serviços Transporte e Logística","PARANÁ AUDITORES ASSOCIADOS S/S"
"INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.",23574,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"INTERNATIONAL MEAL COMPANY",21890,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"INTERNATIONAL MEAL COMPANY",22438,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",26387,"Farmacêutico e Higiene","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"INVESPAR",7609,"Emp. Adm. Participações","AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S"
"INVESTCO S.A.",18589,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"INVESTEC SA",12505,"Emp. Adm. Participações","BKR - LOPES, MACHADO AUDITORES"
"INVESTHOTEL",18570,"Emp. Adm. Participações","AUDIACTO AUDITORES INDEPENDENTES SS"
"INVESTIMENTOS BEMGE",6041,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"INVEPAR",18775,"Emp. Adm. Part. - Serviços Transporte e Logística","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"INVESTMOBILE",18120,"Emp. Adm. Participações","NARDON, NASI - AUDITORES INDEPENDENTES S/S EPP"
"INVESTVALEPAR",18384,"Comunicação e Informática","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"FIBRA DUPONT",18791,"Têxtil e Vestuário","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"INVITEL LEGACY SA",21687,"Emp. Adm. Part. - Telecomunicações","TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES"
"INVITEL SA",17396,"Emp. Adm. Part. - Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"IOCHPE-MAXION",11932,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"IVESA",7498,"",""
"IPIRANGA PETROQUIMICA SA",12300,"Petroquímicos e Borracha","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"IPLAC DO BRASIL",7641,"Petroquímicos e Borracha","KPMG AUDITORES ASSOCIADOS"
"IRANI AGROFLORESTAL",13463,"Reflorestamento","JAIRO COELHO CIA AUDITORES S/C"
"IRANI PAPEL E EMBALAGEM S.A.",2429,"Embalagens","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"",24180,"Seguradoras e Corretoras","KPMG AUDITORES INDEPENDENTES LTDA."
"IRIRI PARTICIPACOES",16110,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"IRMAOS DAVOLI",7650,"Máquinas, Equipamentos, Veículos e Peças","ADNER AUDITORIA E PLANEJAMENTO S/S"
"IRONX MINERAÇÃO S/A",21458,"Metalurgia e Siderurgia","ACAL CONSULTORIA E AUDITORIA S/S"
"",7668,"Metalurgia e Siderurgia",""
"ISA CAPITAL DO BRASIL SA",20427,"Emp. Adm. Part. - Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ISOLUX INFRASTRUCTURE SA",22624,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITASA",18910,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ITABAPOANA",15601,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAGUASSU AGRO INDL",7692,"Extração Mineral","GAPLAN AUDITORIA EXTERNA S/S"
"ITAITINGA PARTICIPAÇÕES S.A.",15865,"Emp. Adm. Part. - Sem Setor Principal","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ITAMARATY",7706,"Outras Atividades Industriais","MOACYR BOER"
"ITAPARICA",7722,"Hospedagem e Turismo","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ITAPEBI GERAÇÃO DE ENERGIA S/A",19364,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ITAPIRUBA HOTEIS",7730,"Hospedagem e Turismo","VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA"
"ITAQUI GERAÇÃO DE ENERGIA S.A.",23213,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAU RENT",17019,"Emp. Adm. Participações","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"ITAÚ UNIBANCO",1279,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"ITAÚ UNIBANCO",19348,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAU UNIBANCO",1287,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ARRENDAMENTO MERCANTIL",1821,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAÚSA",7617,"Emp. Adm. Part. - Intermediação Financeira","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ITAUSEG PARTICIPAÇÕES SA",19933,"Emp. Adm. Part. - Seguradoras e Corretoras","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAUTEC INFORMÁTICA S.A.",7757,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAUTEC S.A. - GRUPO ITAUTEC",12530,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITINGA PARTICIPACOES",16136,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITISA",18732,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"IVEN",14389,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"J H SANTOS",7765,"Comércio (Atacado e Varejo)","BIANCHESSI & CIA  AUDITORES"
"J. MACEDO ALIM NORDESTE S/A  - AGUIA S/A",21156,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CASA DA MADEIRA",11878,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"JALLES MACHADO S.A",25496,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES INDEPENDENTES LTDA."
"JAMYR VASCONCELLOS",7773,"Comércio (Atacado e Varejo)","BIANCHESSI & CIA AUDITORES"
"JARAGUA FABRIL",7781,"Têxtil e Vestuário","MARTINELLI AUDITORES"
"JARAGUA",7790,"Máquinas, Equipamentos, Veículos e Peças","KLYNVELD MAIN GOERDELER AUD SC"
"JARI CELULOSE",14354,"Papel e Celulose","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"JAU CONSTRUTORA",7803,"Construção Civil, Mat. Constr. e Decoração","WALTER HEUER AUDITORES INDEPENDENTES"
"JBS SA",20575,"Alimentos","KPMG AUDITORES INDEPENDENTES LTDA."
"JHSF MALLS S.A.",24473,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"JHSF",20605,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"JIQUIRIÇA PARTICIPAÇÕES",18805,"Emp. Adm. Participações","BKR - LOPES, MACHADO AUDITORES"
"JOÃO FORTES ENGENHARIA S.A.",7811,"Construção Civil, Mat. Constr. e Decoração","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"JORNAL DO BRASIL SA",13455,"Gráficas e Editoras","ATA AUDITORES & CONSULTORES EPP"
"JOSAPAR S/A",13285,"Emp. Adm. Part. - Alimentos","TATICCA AUDITORES INDEPENDENTES S.S. - EPP"
"JP PARTICIPAÇÕES S.A.",23299,"Emp. Adm. Part. - Telecomunicações","KPMG AUDITORES INDEPENDENTES LTDA."
"LA FONTE TELECOM S/A",12262,"Emp. Adm. Part. - Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"JSL S.A.",22020,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"JUNGFRAU",14893,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"K-INFRA RODOVIA DO AÇO S.A.",22446,"Serviços Transporte e Logística","BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA."
"KALIL SEHBE",7846,"Têxtil e Vestuário","JAIRO COELHO CIA AUDITORES S/C"
"",25798,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"KALUNGA S.A.",25631,"Comércio (Atacado e Varejo)","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"KAROON PETROLEO & GAS SA",22241,"Petróleo e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"KARSTEN",4146,"Têxtil e Vestuário","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"KAUFMANN",7854,"Alimentos","NELSON FONSECA DE MEDEIROS"
"KAURI SIGMA",7862,"Petroquímicos e Borracha","DIEHL BIEDERMAN BORDASCH SC"
"KEPLER WEBER SA",7870,"Emp. Adm. Part. - Metalurgia e Siderurgia","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"KIBON",7897,"Alimentos","ARTHUR ANDERSEN BIEDERMANN A I"
"KIEPPE",13200,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"KLABIN",12653,"Papel e Celulose","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"KLABIN SEGALL",20249,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",25879,"Serviços Médicos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOJAS ARAPUA S/A",15083,"Comércio (Atacado e Varejo)","CONATUS AUDITORES INDEPENDENTES S/S"
"KSB",7919,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"KUALA S.A.",566,"Têxtil e Vestuário","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LABO ELETRONICA",12688,"Máquinas, Equipamentos, Veículos e Peças","OPINION AUDITORES INDEPENDENTES EPP"
"LABORATÓRIO TEUTO BRASILEIRO S.A.",26182,"Farmacêutico e Higiene","KPMG AUDITORES INDEPENDENTES LTDA."
"LABRA",11940,"Outras Atividades Industriais","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LAEROB PARTIC SA",16420,"Emp. Adm. Participações","KPMG AUDITORES ASSOCIADOS"
"LAFER",7927,"Construção Civil, Mat. Constr. e Decoração","ALEXANDRE MOREIRA DE SOUSA"
"LAHOTELS S.A.",21229,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES ASSOCIADOS"
"LAMINACAO NAC METAIS",7943,"Metalurgia e Siderurgia",""
"LAMINACAO NAC METAIS",12912,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LANDIS GYR INEPAR",15105,"Máquinas, Equipamentos, Veículos e Peças","MARTINELLI AUDITORES"
"LANIFICIO SEHBE",7951,"Têxtil e Vestuário","BOCK & CIA  AUDITORES S/C"
"LAPSA",7960,"Agricultura (Açúcar, Álcool e Cana)","ADCON AUDITORIA CONTL EMP SC"
"LARAMO",12114,"Outras Atividades Industriais",""
"LARK",7978,"Máquinas, Equipamentos, Veículos e Peças","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"LATINVEST ONLINE S/A",18643,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"",25062,"Construção Civil, Mat. Constr. e Decoração","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"LEADS CIA. SECURITIZADORA",23558,"Securitização de Recebíveis","BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA."
"LEASING BMC SA A M",13919,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LEE",8001,"Têxtil e Vestuário","ERNST   WHINNEY SC"
"LET'S RENT A CAR S.A.",27383,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LF TEL SA",17442,"Emp. Adm. Part. - Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LG INFORMÁTICA S.A.",25666,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LGT HUB S/A",24198,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","PEMOM AUDITORES INDEPENDENTES LTDA."
"TERMINAL 37",18295,"Serviços Transporte e Logística","KPMG AUDITORES ASSOCIADOS"
"LIBRA TERMINAL 35 S.A.",17574,"Serviços Transporte e Logística","KPMG AUDITORES ASSOCIADOS"
"LIBRA TERMINAL RIO S/A",17582,"Serviços Transporte e Logística",""
"LIBRA TERMINAL RIO S/A",23434,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"LIDER AVIAÇÃO HOLDING S/A",21547,"Emp. Adm. Part. - Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LIDER TAXI AEREO",8010,"Serviços Transporte e Logística","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.",24872,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LIGAFUTEBOL S.A.",16691,"Emp. Adm. Part. - Sem Setor Principal","PERFORMANCE AUDITORIA E CONSULTORIA EMPRESARIAL SOCIEDADE SIMPLES"
"LIASA",8028,"Metalurgia e Siderurgia","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"LIGGA TELECOMUNICAÇÕES S.A.",27367,"Telecomunicações","BKR - LOPES, MACHADO AUDITORES"
"LIGHT ENERGIA S.A",23000,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL",19879,"Emp. Adm. Part. - Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LIGHT",8036,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LIMASA",12360,"Metalurgia e Siderurgia","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"LINHA AMARELA S./A.",16853,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LINHA AMARELA S./A.",24937,"Serviços Transporte e Logística","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S.A.",23680,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LINHAS DE XINGU TRANSMISSORA DE ENERGIA S.A.",23671,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",23035,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LION",8044,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LISTEL",13714,"Gráficas e Editoras","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LITEL PARTICIPACOES",15091,"Emp. Adm. Part. - Extração Mineral","BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA."
"LITELA PARTICIPAÇÕES S.A.",24759,"Emp. Adm. Part. - Extração Mineral","BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA."
"LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.",25895,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LIVRARIA DO GLOBO S/A",8060,"Comércio (Atacado e Varejo)","ROKEMBACH + LAHM, VILLANOVA & CIA. AUDITORES"
"LIVRARIA J OLYMPIO",8079,"Gráficas e Editoras",""
"LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.",24880,"Emp. Adm. Part. - Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"LOCALIZA  FLEET S.A.",24813,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOCALIZA RENT A CAR",19739,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOCAMERICA RENT A CAR S.A.",21555,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.",23272,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LOG-IN LOGISTICA INTERMODAL SA",20710,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LOGOS COMPANHIA SECURITIZADORA S/A",23477,"Securitização de Recebíveis","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"LOJAS AMERICANAS S.A.",8087,"Comércio (Atacado e Varejo)","KPMG AUDITORES INDEPENDENTES LTDA."
"LOBRAS",8109,"Comércio (Atacado e Varejo)","KPMG AUDITORES ASSOCIADOS"
"LOJAS HERING",8117,"Têxtil e Vestuário","MÜLLER & PREI AUDITORES INDEPENDENTES S/S - BLUMENAU"
"LOJAS QUERO-QUERO S.A.",25038,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"RENNER",8133,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LONAFLEX",8141,"Máquinas, Equipamentos, Veículos e Peças","DIEHL BIEDERMAN BORDASCH SC"
"LONGDIS SA",17434,"Emp. Adm. Part. - Sem Setor Principal","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"LORENTZEN",12351,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOUCOS POR FUTEBOL S.A.",23027,"Emp. Adm. Part. - Sem Setor Principal","PARANÁ AUDITORES ASSOCIADOS S/S"
"LPC",8184,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOPES",20370,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SULMALHAS",2224,"Têxtil e Vestuário","MARTINELLI AUDITORES"
"LUPATECH",20060,"Máquinas, Equipamentos, Veículos e Peças","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"",26506,"Comércio (Atacado e Varejo)","KPMG AUDITORES INDEPENDENTES LTDA."
"LWSA S/A",21407,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LWSA S/A",24910,"Comunicação e Informática","KPMG AUDITORES INDEPENDENTES LTDA."
"M DEDINI METALURGICA",8206,"Metalurgia e Siderurgia","KPMG AUDITORES INDEPENDENTES LTDA."
"M HOLDINGS",15431,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"M ROSCOE",8214,"Construção Civil, Mat. Constr. e Decoração","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"M&G POLIÉSTER S.A.",14559,"Emp. Adm. Part. - Petroquímicos e Borracha","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"M DIAS BRANCO SA IND E COM DE ALIMENTOS",20338,"Alimentos","KPMG AUDITORES INDEPENDENTES LTDA."
"MAESA",18929,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MADEF",8222,"Máquinas, Equipamentos, Veículos e Peças","DRS AUDITORES"
"MADEIRA SINTETICA",8230,"Construção Civil, Mat. Constr. e Decoração","GAPLAN AUDITORIA EXTERNA S/S"
"MADEPART",8281,"Construção Civil, Mat. Constr. e Decoração","BOCK & CIA  AUDITORES S/C"
"",26379,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MADEZATTI",8273,"Construção Civil, Mat. Constr. e Decoração","DIEHL BIEDERMAN BORDASCH SC"
"MAESTRO LOCADORA DE VEÍCULOS S.A.",23612,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"MAFISA",8303,"Têxtil e Vestuário","RUHTRA S/C"
"MAGAZINE LUIZA SA",22470,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"MAGNESITA MINERAÇÃO S.A",24244,"Emp. Adm. Part. - Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MAGNESITA REFRATARIOS S.A.",20842,"Emp. Adm. Part. - Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MAGNESITA S/A",8311,"Extração Mineral","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MAHLE COFAP ANEIS",18520,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MAHLE METAL LEVE",8575,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"MAISA PARTICIPCOES",16187,"Alimentos","GAMA & CIA AUDITORES INDEP SC"
"MAISON ECO",15180,"Construção Civil, Mat. Constr. e Decoração","DIRECTA AUDITORES"
"MAISON ROYALE",17035,"Construção Civil, Mat. Constr. e Decoração","BAZZANEZE AUDITORES INDEPENDENTES S/S"
"MAISONNAVE PART",8338,"Emp. Adm. Participações","NARDON, NASI - AUDITORES INDEPENDENTES S/S EPP"
"MAISONNAVE DTVM",8346,"Seguradoras e Corretoras",""
"MAISONNAVE LEASING",8354,"Arrendamento Mercantil",""
"MAISONNAVE CFI",8362,"Bancos",""
"MAKRO",14834,"Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MANASA",8389,"Reflorestamento","MARTINELLI AUDITORES"
"MANAUS TRANSMISSORA DE ENERGIA S.A",26719,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"MANGELS",8397,"Emp. Adm. Part. - Metalurgia e Siderurgia","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"NOGAM",12670,"Têxtil e Vestuário","PGBR RODYO'S AUDITORES INDEPENDENTES S.S."
"ESTRELA",8427,"Brinquedos e Lazer","TRÍADE AUDITORES INDEPENDENTES"
"MAORI S.A.",17779,"Emp. Adm. Part. - Gráficas e Editoras","MÜLLER & PREI AUDITORES INDEPENDENTES S/S"
"MAPPIN TRUST",15156,"Serviços Diversos","KPMG AUDITORES ASSOCIADOS"
"MAQUINAS PIRATININGA",8435,"Máquinas, Equipamentos, Veículos e Peças","ALEXANDRE MOREIRA DE SOUSA"
"MARAMBAIA ENERGIA RENOVÁVEL SA",12181,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES ASSOCIADOS"
"MARCOPOLO",8451,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES INDEPENDENTES LTDA."
"MARCOVAN",8460,"Construção Civil, Mat. Constr. e Decoração",""
"MARFRIG",20788,"Alimentos","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"MARINA PARK",16268,"Hospedagem e Turismo","P & L AUDITORES INDEPENDENTES S/S"
"MARINGA PARK",16381,"Crédito Imobiliário","KPMG AUDITORES ASSOCIADOS"
"MARISA LOJAS SA",22055,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"MARISA SA",20761,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MARISOL",8486,"Emp. Adm. Part. - Têxtil e Vestuário","MARTINELLI AUDITORES"
"MARLIM PARTICIPAÇÕES SA",18481,"Emp. Adm. Part. - Petróleo e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"MARSIAJ OLIVEIRA",14575,"Comércio (Atacado e Varejo)","BIANCHESSI & CIA  AUDITORES"
"EPEDA",13064,"Emp. Adm. Participações","ETCA AUDITORES E CONSULTORES"
"BRASIL PHARMA SA - EM RECUPERAÇÃO JUDICIAL",22500,"Farmacêutico e Higiene","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"LORENZ",3611,"Alimentos","OPINION AUDITORES INDEPENDENTES EPP"
"CREFISUL LEASING",15164,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"ENCOL",5622,"Construção Civil, Mat. Constr. e Decoração","BIANCHESSI & CIA  AUDITORES"
"ENCOL",13633,"Construção Civil, Mat. Constr. e Decoração","BIANCHESSI & CIA  AUDITORES"
"FAB TECIDOS C RENAUX",5827,"Têxtil e Vestuário","ACTUS AUDITORES INDEPENDENTES S/S"
"MULLER",8982,"Máquinas, Equipamentos, Veículos e Peças","IBS AUDITORES INDEPENDENTES SC"
"PROCID",17060,"Emp. Adm. Part. - Intermediação Financeira","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CHAPECO",10243,"Alimentos","MOORE STEPHENS LIMA LUCCHESI AUDITORES INDEPENDENTES"
"SHARP",10642,"Máquinas, Equipamentos, Veículos e Peças","PGBR RODYO'S AUDITORES INDEPENDENTES S.S."
"TRANSPARANÁ SA",11495,"Comércio (Atacado e Varejo)",""
"BRASPEROLA S/A",3506,"Têxtil e Vestuário","PGBR RJ AUDITORES INDEPENDENTES"
"CIBRAN",12920,"Farmacêutico e Higiene","KPMG AUDITORES ASSOCIADOS"
"FERREIRA GUIMARAES",4138,"Têxtil e Vestuário","BKR - LOPES, MACHADO AUDITORES"
